15  ,7124   , 32652 ;
17  , 136   ,1209 ;
41  ,1776   ,4848 ;
42  , 710   , 2233 ;
61  ,  1139 , 3313 ;
62  , 1997  ,11605;
67  ,8      , 359 ;
68  ,290    ,1113 ;
70  , 5950  , 23994 ;
102 , 57    ,486 ;
112 ,1447   ,6396 ;
118 , 452   , 4956 ;
133 , 3507  , 16292 ;
161 , 239   , 1971 ;
173 , 6704  , 16974 ;
177 , 5535  ,17171 ;
182 ,78434  ,337219;
187 ,  30   ,670 ;
189 , 4539  ,29984 ;
204 ,217    ,1396 ;
222 ,536    ,1941;
233 , 95    , 658;
271 , 9090  , 28538;
280 , 3228  , 11350 ;
281 , 1742  , 4002 ;
284 , 1075  , 7491;
