15  , 2623  , 6483;
17  , 20    ,456 ;
41  , 115   , 567 ;
42  , 44    ,493 ;
61  , 491   , 1234 ;
62  ,  17681, 50727 ;
67  , 53    , 476;
68  , 2888  , 6714;
70  , 123   , 694 ;
102 , 395   , 841 ;
112 , 966   , 2161 ;
118 , 11077 , 42057 ;
133 , 2389  , 6613;
161 , 0     , 345;
173 , 2462  , 5285 ;
177 , 3998  , 6629;
182 ,15959  , 34498;
187 ,98     , 779 ;
189 , 8034  , 24892 ;
204 , 2235  , 6112 ;
222 , 819   , 2347 ;
233 , 110   , 460;
271 ,12481  , 25458 ;
280 ,149    , 611 ;
281 , 1533  ,2684 ;
284 , 314   ,1456;
