15  , 279   ,2725 ;
17  , 32    , 556 ;
41  , 104   , 843 ;
42  , 174   , 887;
61  , 171   ,845 ;
62  ,492    , 2191;
67  , 3     , 410 ;
68  , 45    , 544 ;
70  , 992   , 6199 ;
102 , 80    , 620 ;
112 , 225   , 1544 ;
118 ,  48   ,713 ;
133 , 214   ,1352;
161 , 49    ,  732 ;
173 , 192   ,1252 ;
177 , 760   , 3209;
182 , 17290 ,66557;
187 ,4      ,458;
189 , 828   , 4136 ;
204 , 60    , 548 ;
222 , 101   , 793 ;
233 , 13    , 439;
271 ,1343   , 5556 ;
280 ,1118   ,3761 ;
281 , 392   , 1330;
284 ,101    ,871;
