,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,LDMax,,FFID,,LDMin,,SDMax,,SDMin,
,puzzle,Backtracks,runtime,Backtracks,runtime,Backtracks,runtime,Backtracks,runtime,Backtracks,runtime
,15,7124,32652,1003,4023,2623,6483,279,2725,795,4489
,17,136,1209,1,349,20,456,32,556,1,425
,41,1776,4848,1,336,115,567,104,843,1,379
,42,710,2233,6,390,44,493,174,887,6,405
,61,1139,3313,103,583,491,1234,171,845,90,639
,62,1997,11605,2581,10579,17681,50727,492,2191,2500,9873
,67,8,359,17,366,53,476,3,410,15,392
,68,290,1113,377,2005,2888,6714,45,544,278,1655
,70,5950,23994,44,576,123,694,992,6199,37,606
,102,57,486,79,431,395,841,80,620,51,516
,112,1447,6396,353,1317,966,2161,225,1544,238,1449
,118,452,4956,1344,7180,11077,42057,48,713,1184,6510
,133,3507,16292,131,994,2389,6613,214,1352,128,1159
,161,239,1971,0,343,0,345,49,732,0,394
,173,6704,16974,30,468,2462,5285,192,1252,22,472
,177,5535,17171,730,2295,3998,6629,760,3209,557,2287
,182,78434,337219,3555,14016,15959,34498,17290,66557,2953,13139
,187,30,670,25,490,98,779,4,458,21,510
,189,4539,29984,1528,7953,8034,24892,828,4136,1401,6416
,204,217,1396,793,2542,2235,6112,60,548,503,2436
,222,536,1941,119,850,819,2347,101,793,95,805
,233,95,658,9,342,110,460,13,439,7,407
,271,9090,28538,2670,10037,12481,25458,1343,5556,2032,9151
,280,3228,11350,88,565,149,611,1118,3761,66,541
,281,1742,4002,429,1332,1533,2684,392,1330,395,1386
,284,1075,7491,22,461,314,1456,101,871,18,463
